Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
19632,0,0,1485,1485,0,1947,0,0,0,0,0,0.0000,7,163,0,0,6,157,0,7,0,0,0,0
20636,0,0,1529,1529,0,2025,0,0,0,0,0,0.0000,7,198,0,0,6,189,0,10,0,0,0,0
21637,0,0,1594,1594,0,2105,0,0,0,0,0,0.0000,9,230,0,0,8,220,0,11,0,0,0,0
22640,0,0,1549,1549,0,2046,0,0,0,0,0,0.0000,9,262,0,0,8,251,0,12,0,0,0,0
23642,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,9,294,0,0,8,282,0,13,0,0,0,0
24644,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,9,327,0,0,8,314,0,14,0,0,0,0
25648,0,0,69521540,146691,0,148009,0,45,0,69374804,0,0.0000,9,359,0,68900,68908,346,0,14,0,0,0,0
26648,0,0,93132673,127738,0,128973,0,360,0,123236233,0,0.0000,9,387,0,127400,127408,373,0,15,0,0,0,0
27653,0,0,80015519,44107,38,44853,0,90,0,140309522,0,0.0009,11,419,0,189800,189810,404,0,16,0,0,0,0
28655,0,0,135108189,47359,38,48186,17,1118,0,212446968,0,0.0008,12,455,0,261300,261311,439,0,17,0,0,0,0
29659,0,0,148616970,19413,0,20059,0,1118,0,148608547,0,0.0000,12,480,0,310700,310711,463,0,18,0,0,0,0
30663,0,0,108873523,16324,38,16964,0,225,0,207620921,0,0.0023,12,509,0,369200,369211,492,0,18,0,0,0,0
31664,0,0,157407586,16324,38,16964,0,1388,0,256153821,0,0.0023,12,535,0,417300,417311,517,0,19,0,0,0,0
32666,0,0,153201984,12307,38,12706,0,2333,0,346658094,38,0.0031,12,580,0,507000,507011,561,0,20,0,0,0,0
33668,0,0,153201984,12307,38,12706,0,2333,0,346658094,38,0.0031,12,580,0,507000,507011,561,0,20,0,0,0,0
34669,0,0,213812010,4017,38,4317,26,4209,0,469954867,0,0.0094,14,644,0,629200,629213,623,0,22,0,0,0,0
35671,0,0,242670040,4017,38,4317,26,4839,0,498812267,0,0.0094,14,658,0,657800,657813,637,0,22,0,0,0,0
36672,0,0,152160722,3560,0,0,0,0,0,410895070,114,0.0000,14,658,0,657800,657813,637,0,22,0,0,0,0
37674,0,0,240046595,4569,0,5384,0,1973,0,240040091,0,0.0000,14,702,0,744900,744913,680,0,23,0,0,0,0
38675,0,0,352314477,4569,0,5384,0,4479,0,352305467,0,0.0000,14,758,0,856164,856177,734,0,25,0,0,0,0
39677,0,0,303009538,5469,0,5827,26,5379,0,455154855,38,0.0000,16,810,0,958100,958115,785,0,26,0,0,0,0
40677,0,0,303009538,5469,0,5827,26,5379,0,455154855,38,0.0000,16,810,0,958100,958115,785,0,26,0,0,0,0
41681,0,0,11805596,5315,38,5681,0,4261,0,460397619,38,0.0071,16,813,0,963300,963315,788,0,26,0,0,0,0
42685,0,0,141283297,5315,38,5681,0,7082,0,589872499,38,0.0071,16,876,0,1091620,1091635,849,0,28,0,0,0,0
43689,0,0,255299963,5315,38,5681,0,9775,0,703886472,38,0.0071,16,936,0,1204617,1204632,908,0,29,0,0,0,0
44691,0,0,267592963,5315,38,5681,0,10128,0,716179119,38,0.0071,16,944,0,1216800,1216815,915,0,30,0,0,0,0
45692,0,0,344985587,3972,38,4255,17,11651,0,800124892,0,0.0095,17,999,0,1300000,1300016,969,0,31,0,0,0,0
46695,0,0,344985587,3972,38,4255,17,11651,0,800124892,0,0.0095,17,999,0,1300000,1300016,969,0,31,0,0,0,0
47695,0,0,83953599,3982,0,4226,26,13001,0,800121865,38,0.0000,19,1050,0,1300000,1300018,1019,0,32,0,0,0,0
48698,0,0,83953599,3982,0,4226,26,13001,0,800121865,38,0.0000,19,1050,0,1300000,1300018,1019,0,32,0,0,0,0
49701,0,0,83953599,3982,0,4226,26,13001,0,800121865,38,0.0000,19,1050,0,1300000,1300018,1019,0,32,0,0,0,0
50704,0,0,4955,2343,0,2881,9,2603,0,0,76,0.0000,21,1160,0,1300000,1300020,1126,0,35,0,0,0,0
51707,0,0,5623,5623,0,6906,0,0,0,0,76,0.0000,21,1175,0,1300000,1300020,1140,0,36,0,0,0,0
52707,0,0,7596,5623,0,6906,0,1973,0,0,0,0.0000,21,1219,0,1300000,1300020,1183,0,37,0,0,0,0
53710,0,0,1990,1990,0,2513,0,0,0,0,0,0.0000,22,1263,0,1300000,1300021,1226,0,38,0,0,0,0
54710,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,22,1294,0,1300000,1300021,1256,0,39,0,0,0,0
55711,0,0,1494,1494,0,1970,0,0,0,0,0,0.0000,23,1326,0,1300000,1300022,1288,0,39,0,0,0,0
56713,0,0,1540,1540,0,2030,0,0,0,0,0,0.0000,24,1359,0,1300000,1300023,1320,0,40,0,0,0,0
57714,0,0,1647,1647,0,2175,0,0,0,0,0,0.0000,25,1392,0,1300000,1300024,1352,0,41,0,0,0,0
58716,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,25,1424,0,1300000,1300024,1383,0,42,0,0,0,0
59719,0,0,1433,1433,0,1877,0,0,0,0,0,0.0000,25,1456,0,1300000,1300024,1414,0,43,0,0,0,0
60722,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,26,1489,0,1300000,1300025,1446,0,44,0,0,0,0
61725,0,0,1547,1547,0,2037,0,0,0,0,0,0.0000,27,1520,0,1300000,1300026,1477,0,44,0,0,0,0
62725,0,0,1568,1568,0,2065,0,0,0,0,0,0.0000,27,1553,0,1300000,1300026,1509,0,45,0,0,0,0
63728,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,27,1586,0,1300000,1300026,1541,0,46,0,0,0,0
64729,0,0,1568,1568,0,2054,0,0,0,0,0,0.0000,27,1618,0,1300000,1300026,1572,0,47,0,0,0,0
65733,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,28,1651,0,1300000,1300027,1604,0,48,0,0,0,0
66735,0,0,1405,1405,0,1849,0,0,0,0,0,0.0000,29,1682,0,1300000,1300028,1634,0,49,0,0,0,0
67735,0,0,1485,1485,0,1947,0,0,0,0,0,0.0000,29,1714,0,1300000,1300028,1666,0,49,0,0,0,0
68735,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,29,1747,0,1300000,1300028,1698,0,50,0,0,0,0
69735,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,29,1779,0,1300000,1300028,1729,0,51,0,0,0,0
70737,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,30,1812,0,1300000,1300029,1761,0,52,0,0,0,0
71737,0,0,1540,1540,0,2026,0,0,0,0,0,0.0000,31,1843,0,1300000,1300030,1791,0,53,0,0,0,0
72742,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,32,1877,0,1300000,1300031,1824,0,54,0,0,0,0
73743,0,0,1395,1395,0,1829,0,0,0,0,0,0.0000,32,1907,0,1300000,1300031,1854,0,54,0,0,0,0
74744,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,32,1940,0,1300000,1300031,1886,0,55,0,0,0,0
75745,0,0,1487,1487,0,1959,0,0,0,0,0,0.0000,33,1972,0,1300000,1300032,1917,0,56,0,0,0,0
76745,0,0,1630,1630,0,2148,0,0,0,0,0,0.0000,34,2005,0,1300000,1300033,1949,0,57,0,0,0,0
77749,0,0,1523,1523,0,2006,0,0,0,0,0,0.0000,34,2037,0,1300000,1300033,1980,0,58,0,0,0,0
78750,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,34,2070,0,1300000,1300033,2012,0,59,0,0,0,0
79752,0,0,1530,1530,0,2006,0,0,0,0,0,0.0000,34,2101,0,1300000,1300033,2043,0,59,0,0,0,0
80754,0,0,1442,1442,0,1904,0,0,0,0,0,0.0000,35,2133,0,1300000,1300034,2074,0,60,0,0,0,0
81755,0,0,1630,1630,0,2144,0,0,0,0,0,0.0000,36,2166,0,1300000,1300035,2106,0,61,0,0,0,0
82756,0,0,1540,1540,0,2026,0,0,0,0,0,0.0000,36,2198,0,1300000,1300035,2137,0,62,0,0,0,0
83759,0,0,1433,1433,0,1877,0,0,0,0,0,0.0000,36,2230,0,1300000,1300035,2168,0,63,0,0,0,0
84760,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,36,2263,0,1300000,1300035,2200,0,64,0,0,0,0
85760,0,0,1404,1404,0,1852,0,0,0,0,0,0.0000,37,2294,0,1300000,1300036,2231,0,64,0,0,0,0
86762,0,0,1495,1495,0,1971,0,0,0,0,0,0.0000,38,2327,0,1300000,1300037,2263,0,65,0,0,0,0
87762,0,0,1557,1557,0,2057,0,0,0,0,0,0.0000,39,2359,0,1300000,1300038,2294,0,66,0,0,0,0
88764,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,39,2391,0,1300000,1300038,2325,0,67,0,0,0,0
89769,0,0,1613,1613,0,2117,0,0,0,0,0,0.0000,39,2424,0,1300000,1300038,2357,0,68,0,0,0,0
90771,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,40,2456,0,1300000,1300039,2388,0,69,0,0,0,0
91773,0,0,1502,1502,0,1978,0,0,0,0,0,0.0000,41,2488,0,1300000,1300040,2420,0,69,0,0,0,0
92776,0,0,1540,1540,0,2030,0,0,0,0,0,0.0000,41,2519,0,1300000,1300040,2450,0,70,0,0,0,0
93776,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,41,2552,0,1300000,1300040,2482,0,71,0,0,0,0
94780,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,41,2585,0,1300000,1300040,2514,0,72,0,0,0,0
95781,0,0,1577,1577,0,2081,0,0,0,0,0,0.0000,42,2617,0,1300000,1300041,2545,0,73,0,0,0,0
96782,0,0,1585,1585,0,2085,0,0,0,0,0,0.0000,43,2650,0,1300000,1300042,2577,0,74,0,0,0,0
97784,0,0,1395,1395,0,1829,0,0,0,0,0,0.0000,43,2680,0,1300000,1300042,2607,0,74,0,0,0,0
98785,0,0,1568,1568,0,2054,0,0,0,0,0,0.0000,43,2713,0,1300000,1300042,2639,0,75,0,0,0,0
99786,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,43,2746,0,1300000,1300042,2671,0,76,0,0,0,0
100786,0,0,1577,1577,0,2077,0,0,0,0,0,0.0000,44,2778,0,1300000,1300043,2702,0,77,0,0,0,0
101789,0,0,1585,1585,0,2085,0,0,0,0,0,0.0000,45,2811,0,1300000,1300044,2734,0,78,0,0,0,0
102789,0,0,1450,1450,0,1908,0,0,0,0,0,0.0000,46,2843,0,1300000,1300045,2765,0,79,0,0,0,0
103792,0,0,1530,1530,0,2006,0,0,0,0,0,0.0000,46,2875,0,1300000,1300045,2797,0,79,0,0,0,0
104792,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,46,2907,0,1300000,1300045,2828,0,80,0,0,0,0
105792,0,0,1532,1532,0,2018,0,0,0,0,0,0.0000,47,2940,0,1300000,1300046,2860,0,81,0,0,0,0
106795,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,48,2972,0,1300000,1300047,2891,0,82,0,0,0,0
107797,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,48,3004,0,1300000,1300047,2922,0,83,0,0,0,0
108797,0,0,1613,1613,0,2113,0,0,0,0,0,0.0000,48,3037,0,1300000,1300047,2954,0,84,0,0,0,0
109798,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,48,3068,0,1300000,1300047,2985,0,84,0,0,0,0
110799,0,0,1487,1487,0,1959,0,0,0,0,0,0.0000,49,3101,0,1300000,1300048,3017,0,85,0,0,0,0
111803,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,50,3133,0,1300000,1300049,3048,0,86,0,0,0,0
112806,0,0,1540,1540,0,2026,0,0,0,0,0,0.0000,50,3165,0,1300000,1300049,3079,0,87,0,0,0,0
113806,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,50,3198,0,1300000,1300049,3111,0,88,0,0,0,0
114806,0,0,1523,1523,0,1999,0,0,0,0,0,0.0000,50,3230,0,1300000,1300049,3142,0,89,0,0,0,0
115806,0,0,1494,1494,0,1970,0,0,0,0,0,0.0000,51,3262,0,1300000,1300050,3174,0,89,0,0,0,0
116807,0,0,1450,1450,0,1912,0,0,0,0,0,0.0000,52,3294,0,1300000,1300051,3205,0,90,0,0,0,0
117808,0,0,1602,1602,0,2120,0,0,0,0,0,0.0000,53,3327,0,1300000,1300052,3237,0,91,0,0,0,0
118809,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,53,3359,0,1300000,1300052,3268,0,92,0,0,0,0
119809,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,53,3391,0,1300000,1300052,3299,0,93,0,0,0,0
120812,0,0,1577,1577,0,2081,0,0,0,0,0,0.0000,54,3424,0,1300000,1300053,3331,0,94,0,0,0,0
121812,0,0,1412,1412,0,1860,0,0,0,0,0,0.0000,55,3454,0,1300000,1300054,3361,0,94,0,0,0,0
122813,0,0,1585,1585,0,2089,0,0,0,0,0,0.0000,55,3487,0,1300000,1300054,3393,0,95,0,0,0,0
123815,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,55,3520,0,1300000,1300054,3425,0,96,0,0,0,0
124816,0,0,1433,1433,0,1877,0,0,0,0,0,0.0000,55,3552,0,1300000,1300054,3456,0,97,0,0,0,0
125818,0,0,1532,1532,0,2018,0,0,0,0,0,0.0000,56,3584,0,1300000,1300055,3487,0,98,0,0,0,0
126820,0,0,1450,1450,0,1912,0,0,0,0,0,0.0000,57,3616,0,1300000,1300056,3518,0,99,0,0,0,0
127820,0,0,1547,1547,0,2037,0,0,0,0,0,0.0000,57,3648,0,1300000,1300056,3550,0,99,0,0,0,0
128823,0,0,1478,1478,0,1936,0,0,0,0,0,0.0000,57,3680,0,1300000,1300056,3581,0,100,0,0,0,0
129823,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,57,3712,0,1300000,1300056,3612,0,101,0,0,0,0
130826,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,58,3745,0,1300000,1300057,3644,0,102,0,0,0,0
131828,0,0,1450,1450,0,1912,0,0,0,0,0,0.0000,59,3777,0,1300000,1300058,3675,0,103,0,0,0,0
132831,0,0,1602,1602,0,2120,0,0,0,0,0,0.0000,60,3810,0,1300000,1300059,3707,0,104,0,0,0,0
133834,0,0,1395,1395,0,1829,0,0,0,0,0,0.0000,60,3841,0,1300000,1300059,3738,0,104,0,0,0,0
134835,0,0,1613,1613,0,2117,0,0,0,0,0,0.0000,60,3874,0,1300000,1300059,3770,0,105,0,0,0,0
135835,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,61,3906,0,1300000,1300060,3801,0,106,0,0,0,0
136837,0,0,1495,1495,0,1971,0,0,0,0,0,0.0000,62,3939,0,1300000,1300061,3833,0,107,0,0,0,0
137841,0,0,1630,1630,0,2148,0,0,0,0,0,0.0000,62,3971,0,1300000,1300061,3864,0,108,0,0,0,0
138843,0,0,1478,1478,0,1936,0,0,0,0,0,0.0000,62,4002,0,1300000,1300061,3894,0,109,0,0,0,0
139843,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,62,4034,0,1300000,1300061,3926,0,109,0,0,0,0
140846,0,0,1442,1442,0,1900,0,0,0,0,0,0.0000,63,4066,0,1300000,1300062,3957,0,110,0,0,0,0
141846,0,0,1585,1585,0,2085,0,0,0,0,0,0.0000,64,4099,0,1300000,1300063,3989,0,111,0,0,0,0
142850,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,64,4132,0,1300000,1300063,4021,0,112,0,0,0,0
143851,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,64,4164,0,1300000,1300063,4052,0,113,0,0,0,0
144851,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,64,4197,0,1300000,1300063,4084,0,114,0,0,0,0
145852,0,0,1404,1404,0,1852,0,0,0,0,0,0.0000,65,4227,0,1300000,1300064,4114,0,114,0,0,0,0
146853,0,0,1630,1630,0,2144,0,0,0,0,0,0.0000,66,4260,0,1300000,1300065,4146,0,115,0,0,0,0
147854,0,0,1602,1602,0,2120,0,0,0,0,0,0.0000,67,4293,0,1300000,1300066,4178,0,116,0,0,0,0
148854,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,67,4324,0,1300000,1300066,4208,0,117,0,0,0,0
149854,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,67,4357,0,1300000,1300066,4240,0,118,0,0,0,0
150855,0,0,1487,1487,0,1963,0,0,0,0,0,0.0000,68,4389,0,1300000,1300067,4271,0,119,0,0,0,0
151855,0,0,1592,1592,0,2096,0,0,0,0,0,0.0000,69,4421,0,1300000,1300068,4303,0,119,0,0,0,0
152857,0,0,1585,1585,0,2085,0,0,0,0,0,0.0000,69,4454,0,1300000,1300068,4335,0,120,0,0,0,0
153860,0,0,1478,1478,0,1940,0,0,0,0,0,0.0000,69,4486,0,1300000,1300068,4366,0,121,0,0,0,0
154862,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,69,4518,0,1300000,1300068,4397,0,122,0,0,0,0
155864,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,70,4551,0,1300000,1300069,4429,0,123,0,0,0,0
156865,0,0,1495,1495,0,1971,0,0,0,0,0,0.0000,71,4583,0,1300000,1300070,4460,0,124,0,0,0,0
157868,0,0,1502,1502,0,1978,0,0,0,0,0,0.0000,71,4614,0,1300000,1300070,4491,0,124,0,0,0,0
158869,0,0,1523,1523,0,1995,0,0,0,0,0,0.0000,71,4647,0,1300000,1300070,4523,0,125,0,0,0,0
159870,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,71,4679,0,1300000,1300070,4554,0,126,0,0,0,0
160870,0,0,1532,1532,0,2022,0,0,0,0,0,0.0000,72,4712,0,1300000,1300071,4586,0,127,0,0,0,0
161873,0,0,1495,1495,0,1967,0,0,0,0,0,0.0000,73,4745,0,1300000,1300072,4618,0,128,0,0,0,0
162873,0,0,1512,1512,0,1998,0,0,0,0,0,0.0000,74,4776,0,1300000,1300073,4648,0,129,0,0,0,0
163874,0,0,1440,1440,0,1888,0,0,0,0,0,0.0000,74,4808,0,1300000,1300073,4680,0,129,0,0,0,0
164875,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,74,4840,0,1300000,1300073,4711,0,130,0,0,0,0
