Timestamp(ms),isLimited,BPSLimit,BytesPushed,BytesSent,BytesResent,ActualBytesSent,SendBuf(Imm),SendBuf(High),SendBuf(Med),SendBuf(Low),ResendBuf,packetLoss,MsgSent(Imm),MsgSent(High),MsgSent(Med),MsgSent(Low),MsgSent(Unrel),MsgSent(UnrelSeq),MsgSent(Rel),MsgSent(RelOrd),MsgSent(RelSeq),MsgSent(UnrelAck),MsgSent(RelAck),MsgSent(RelOrdAck)
19632,0,0,1485,1485,0,1947,0,0,0,0,0,0.0000,10,163,0,0,8,157,1,7,0,0,0,0
20636,0,0,1529,1529,0,2025,0,0,0,0,0,0.0000,10,198,0,0,8,189,1,10,0,0,0,0
21637,0,0,1568,1568,0,2058,0,0,0,0,0,0.0000,10,230,0,0,8,220,1,11,0,0,0,0
22640,0,0,1566,1566,0,2077,0,0,0,0,0,0.0000,13,262,0,0,11,251,1,12,0,0,0,0
23642,0,0,1433,1433,0,1881,0,0,0,0,0,0.0000,13,294,0,0,11,282,1,13,0,0,0,0
24644,0,0,1313268,7622,0,8154,0,0,0,1305646,0,0.0000,13,327,0,1300,1311,314,1,14,0,0,0,0
25648,0,0,70833240,152745,0,154105,0,45,0,70680450,0,0.0000,13,359,0,70200,70211,346,1,14,0,0,0,0
26648,0,0,77391958,104576,0,105660,0,0,0,103615219,0,0.0000,13,387,0,128700,128711,373,1,15,0,0,0,0
27653,0,0,80015519,45116,38,45873,0,90,0,80007646,0,0.0008,15,419,0,191100,191113,404,1,16,0,0,0,0
28655,0,0,99329212,19396,0,20026,0,0,0,151777816,38,0.0000,15,455,0,262241,262254,439,1,17,0,0,0,0
29659,0,0,149537161,19396,0,20026,0,1118,0,201984647,0,0.0000,15,480,0,312000,312013,463,1,18,0,0,0,0
30663,0,0,109235754,17333,0,17928,0,225,0,260996012,0,0.0000,15,509,0,370500,370513,492,1,18,0,0,0,0
31664,0,0,62963078,18676,0,19139,0,0,0,62953528,38,0.0000,15,535,0,418600,418613,517,1,19,0,0,0,0
32666,0,0,89773757,10090,0,10596,0,0,0,152717195,38,0.0000,15,580,0,507571,507584,561,1,20,0,0,0,0
33668,0,0,89773757,10090,0,10596,0,0,0,152717195,38,0.0000,15,580,0,507571,507584,561,1,20,0,0,0,0
34669,0,0,212500284,10090,0,10596,0,2866,0,275440856,0,0.0000,15,644,0,629200,629213,623,1,22,0,0,0,0
35671,0,0,152896283,12082,0,12822,26,495,0,305600875,76,0.0000,17,658,0,659100,659115,637,1,22,0,0,0,0
36672,0,0,152896283,12082,0,12822,26,495,0,305600875,76,0.0000,17,658,0,659100,659115,637,1,22,0,0,0,0
37674,0,0,240782156,12082,0,12822,26,2468,0,393484775,0,0.0000,17,702,0,746200,746215,680,1,23,0,0,0,0
38675,0,0,352279162,12082,0,12822,26,4974,0,504979275,0,0.0000,17,758,0,856700,856715,734,1,25,0,0,0,0
39677,0,0,301697846,14576,0,15439,34,3856,0,607280776,0,0.0000,19,810,0,958100,958117,785,1,26,0,0,0,0
40677,0,0,301697846,14576,0,15439,34,3856,0,607280776,0,0.0000,19,810,0,958100,958117,785,1,26,0,0,0,0
41681,0,0,11805613,17007,0,17974,9,135,0,613826159,0,0.0000,20,813,0,964600,964618,788,1,26,0,0,0,0
42685,0,0,140355034,17007,0,17974,9,2956,0,742372759,0,0.0000,20,876,0,1092000,1092018,849,1,28,0,0,0,0
