Timestamp(ms),IP_Address,RTT(ms),SequenceNum
410157806,127.0.0.1,31,1
410157811,127.0.0.1,36,1
410159808,127.0.0.1,22,2
410159808,127.0.0.1,22,2
410161842,127.0.0.1,27,3
410161842,127.0.0.1,27,3
410163847,127.0.0.1,24,4
410163851,127.0.0.1,28,4
410165864,127.0.0.1,33,5
410165869,127.0.0.1,38,5
410167864,127.0.0.1,21,6
410167864,127.0.0.1,21,6
410169888,127.0.0.1,32,7
410169892,127.0.0.1,36,7
410171891,127.0.0.1,18,8
410171891,127.0.0.1,18,8
410173928,127.0.0.1,31,9
410173928,127.0.0.1,31,9
410175931,127.0.0.1,21,10
410175931,127.0.0.1,21,10
