Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
99981798,0.0000,2054,10974.00,33525,1297,0,0,0,0,0,0,680691.92,3544.25,0.00,0.00,0.00,0.00,0.00,0.00
99982798,0.0000,1936,10974.00,33525,1329,0,0,0,0,0,0,680691.92,3359.01,0.00,0.00,0.00,0.00,0.00,0.00
99983804,0.0000,1999,10974.00,33525,1360,0,0,0,0,0,0,680691.92,3404.58,0.00,0.00,0.00,0.00,0.00,0.00
99984804,0.0000,2046,10974.00,33527,1391,0,0,0,0,0,0,911166.95,4286.74,0.00,0.00,0.00,0.00,0.00,0.00
99985805,0.0000,2195,10788.00,33528,1423,0,0,0,0,0,0,854609.12,2431.93,0.00,0.00,0.00,0.00,0.00,0.00
99986810,0.0000,1829,10788.00,33528,1454,0,0,0,0,0,0,854609.12,3787.40,0.00,0.00,0.00,0.00,0.00,0.00
99987811,0.0000,1940,10788.00,33528,1485,0,0,0,0,0,0,854609.12,4615.06,0.00,0.00,0.00,0.00,0.00,0.00
99988817,0.0000,1999,10788.00,33528,1517,0,0,0,0,0,0,854609.12,4341.18,0.00,0.00,0.00,0.00,0.00,0.00
99989817,0.0000,2104,10788.00,33530,1548,0,0,0,0,0,0,1010272.17,4668.82,0.00,0.00,0.00,0.00,0.00,0.00
99990817,0.0000,1936,10788.00,33530,1580,0,0,0,0,0,0,1010272.17,2859.90,0.00,0.00,0.00,0.00,0.00,0.00
99991824,0.0000,1940,10788.00,33530,1612,0,0,0,0,0,0,1010272.17,4022.42,0.00,0.00,0.00,0.00,0.00,0.00
99992830,0.0000,2006,10788.00,33530,1644,0,0,0,0,0,0,1010272.17,1255.77,0.00,0.00,0.00,0.00,0.00,0.00
99993830,0.0000,2058,10788.00,33530,1675,0,0,0,0,0,0,1010272.17,3280.98,0.00,0.00,0.00,0.00,0.00,0.00
99994830,0.0000,1987,10788.00,33532,1707,0,0,0,0,0,0,1200581.97,1979.65,0.00,0.00,0.00,0.00,0.00,0.00
99995830,0.0000,1940,10788.00,33532,1738,0,0,0,0,0,0,1200581.97,3834.38,0.00,0.00,0.00,0.00,0.00,0.00
