Timestamp(ms),PacketLoss,Throughput,Jitter,MsgRecv(Unrel),MsgRecv(UnrelSeq),MsgRecv(Rel),MsgRecv(RelOrd),MsgRecv(RelSeq),MsgRecv(UnrelAck),MsgRecv(RelAck),MsgRecv(RelOrdAck),Jitter(Unrel),Jitter(UnrelSeq),Jitter(Rel),Jitter(RelOrd),Jitter(RelSeq),Jitter(UnrelAck),Jitter(RelAck),Jitter(RelOrdAck)
56442,0.0000,1936,12976.00,34099,1337,2,0,0,0,0,0,697281.35,3354.12,313067.75,0.00,0.00,0.00,0.00,0.00
57454,0.0000,2006,12976.00,34099,1369,2,0,0,0,0,0,697281.35,3221.20,313067.75,0.00,0.00,0.00,0.00,0.00
58468,0.0000,1881,12976.00,34099,1400,2,0,0,0,0,0,697281.35,3407.07,313067.75,0.00,0.00,0.00,0.00,0.00
59481,0.0000,2058,12976.00,34099,1432,2,0,0,0,0,0,697281.35,3760.98,313067.75,0.00,0.00,0.00,0.00,0.00
60496,0.0000,2084,13988.00,34102,1464,2,0,0,0,0,0,904147.50,4464.47,313067.75,0.00,0.00,0.00,0.00,0.00
61508,0.0000,1881,13988.00,34102,1495,2,0,0,0,0,0,904147.50,4857.71,313067.75,0.00,0.00,0.00,0.00,0.00
62523,0.0000,2058,13988.00,34102,1528,2,0,0,0,0,0,904147.50,4222.87,313067.75,0.00,0.00,0.00,0.00,0.00
63537,0.0000,1936,13988.00,34102,1559,2,0,0,0,0,0,904147.50,3158.84,313067.75,0.00,0.00,0.00,0.00,0.00
64548,0.0000,1888,13988.00,34102,1591,2,0,0,0,0,0,904147.50,3225.77,313067.75,0.00,0.00,0.00,0.00,0.00
65564,0.0000,2021,16032.00,34105,1622,2,0,0,0,0,0,1083693.22,4467.91,313067.75,0.00,0.00,0.00,0.00,0.00
66576,0.0000,1999,16032.00,34105,1655,2,0,0,0,0,0,1083693.22,5758.97,313067.75,0.00,0.00,0.00,0.00,0.00
67588,0.0000,2117,16032.00,34105,1687,2,0,0,0,0,0,1083693.22,3630.69,313067.75,0.00,0.00,0.00,0.00,0.00
68601,0.0000,2058,16032.00,34105,1719,2,0,0,0,0,0,1083693.22,2745.17,313067.75,0.00,0.00,0.00,0.00,0.00
69614,0.0000,1999,16032.00,34105,1751,2,0,0,0,0,0,1083693.22,3908.20,313067.75,0.00,0.00,0.00,0.00,0.00
70629,0.0000,1910,17321.00,34108,1782,2,0,0,0,0,0,1239222.41,3899.55,313067.75,0.00,0.00,0.00,0.00,0.00
71640,0.0000,2058,17321.00,34108,1814,2,0,0,0,0,0,1239222.41,2210.82,313067.75,0.00,0.00,0.00,0.00,0.00
72640,0.0000,1940,17321.00,34108,1846,2,0,0,0,0,0,1239222.41,4296.87,313067.75,0.00,0.00,0.00,0.00,0.00
73652,0.0000,2054,17321.00,34108,1877,2,0,0,0,0,0,1239222.41,3714.38,313067.75,0.00,0.00,0.00,0.00,0.00
74667,0.0000,1995,17321.00,34108,1909,2,0,0,0,0,0,1239222.41,3077.37,313067.75,0.00,0.00,0.00,0.00,0.00
75678,0.0000,2025,19875.00,34111,1941,2,0,0,0,0,0,1373939.01,3409.74,313067.75,0.00,0.00,0.00,0.00,0.00
76692,0.0000,2065,19875.00,34111,1973,2,0,0,0,0,0,1373939.01,6175.63,313067.75,0.00,0.00,0.00,0.00,0.00
77705,0.0000,1936,19875.00,34111,2004,2,0,0,0,0,0,1373939.01,4259.92,313067.75,0.00,0.00,0.00,0.00,0.00
78715,0.0000,1940,19875.00,34111,2036,2,0,0,0,0,0,1373939.01,1634.18,313067.75,0.00,0.00,0.00,0.00,0.00
79717,0.0000,2117,19875.00,34111,2068,2,0,0,0,0,0,1373939.01,3184.00,313067.75,0.00,0.00,0.00,0.00,0.00
80730,0.0000,2084,13006.00,34114,2099,2,0,0,0,0,0,1489778.98,2422.39,313067.75,0.00,0.00,0.00,0.00,0.00
81743,0.0000,1999,13006.00,34114,2132,2,0,0,0,0,0,1489778.98,6241.83,313067.75,0.00,0.00,0.00,0.00,0.00
82757,0.0000,1877,13006.00,34114,2163,2,0,0,0,0,0,1489778.98,5733.59,313067.75,0.00,0.00,0.00,0.00,0.00
83769,0.0000,2054,13006.00,34114,2195,2,0,0,0,0,0,1489778.98,2142.38,313067.75,0.00,0.00,0.00,0.00,0.00
84782,0.0000,1999,13006.00,34114,2227,2,0,0,0,0,0,1489778.98,3728.79,313067.75,0.00,0.00,0.00,0.00,0.00
85795,0.0000,2080,13390.00,34117,2259,2,0,0,0,0,0,1589688.48,4767.81,313067.75,0.00,0.00,0.00,0.00,0.00
86808,0.0000,2058,13390.00,34117,2290,2,0,0,0,0,0,1589688.48,3321.94,313067.75,0.00,0.00,0.00,0.00,0.00
87822,0.0000,1999,13390.00,34117,2322,2,0,0,0,0,0,1589688.48,4488.13,313067.75,0.00,0.00,0.00,0.00,0.00
88837,0.0000,1995,13390.00,34117,2354,2,0,0,0,0,0,1589688.48,3392.71,313067.75,0.00,0.00,0.00,0.00,0.00
89849,0.0000,1888,13390.00,34117,2386,2,0,0,0,0,0,1589688.48,5866.80,313067.75,0.00,0.00,0.00,0.00,0.00
90862,0.0000,2143,16851.00,34120,2418,2,0,0,0,0,0,1676042.46,5534.54,313067.75,0.00,0.00,0.00,0.00,0.00
91876,0.0000,1940,16851.00,34120,2449,2,0,0,0,0,0,1676042.46,3808.87,313067.75,0.00,0.00,0.00,0.00,0.00
92888,0.0000,2058,16851.00,34120,2480,2,0,0,0,0,0,1676042.46,4399.39,313067.75,0.00,0.00,0.00,0.00,0.00
93903,0.0000,2058,16851.00,34120,2513,2,0,0,0,0,0,1676042.46,3218.64,313067.75,0.00,0.00,0.00,0.00,0.00
