Timestamp(ms),IP_Address,RTT(ms),SequenceNum
40124,192.168.1.8|53353,7117,21
40198,192.168.1.15|54310,6269,127
40250,192.168.1.15|54310,6313,128
40284,192.168.1.15|54310,6339,129
40349,192.168.1.15|54310,6395,130
40391,192.168.1.15|54310,6429,131
40434,192.168.1.8|53353,7417,22
40452,192.168.1.15|54310,6481,132
40496,192.168.1.15|54310,6518,133
40559,192.168.1.15|54310,6572,134
40612,192.168.1.15|54310,6617,135
40659,192.168.1.15|54310,6655,136
40727,192.168.1.15|54310,6715,137
40727,192.168.1.8|53353,7701,23
40794,192.168.1.15|54310,6771,138
40838,192.168.1.15|54310,6807,139
40886,192.168.1.15|54310,6847,140
40928,192.168.1.15|54310,6879,141
40971,192.168.1.15|54310,6915,142
41040,192.168.1.8|53353,8005,24
41056,192.168.1.15|54310,6988,143
41133,192.168.1.15|54310,7056,144
41179,192.168.1.15|54310,7092,145
41224,192.168.1.15|54310,7128,146
41303,192.168.1.15|54310,7199,147
41364,192.168.1.15|54310,7250,148
41399,192.168.1.8|53353,8355,25
41417,192.168.1.15|54310,7294,149
41468,192.168.1.15|54310,7337,150
41512,192.168.1.15|54310,7371,151
41582,192.168.1.15|54310,7432,152
41643,192.168.1.15|54310,7485,153
41695,192.168.1.15|54310,7529,154
41728,192.168.1.8|53353,8676,26
41737,192.168.1.15|54310,7562,155
41811,192.168.1.15|54310,7629,156
41887,192.168.1.15|54310,7695,157
41939,192.168.1.15|54310,7738,158
41984,192.168.1.15|54310,7775,159
42017,192.168.1.15|54310,7799,160
42043,192.168.1.8|53353,8981,27
42086,192.168.1.15|54310,7860,161
42119,192.168.1.15|54310,7884,162
42190,192.168.1.15|54310,7948,163
42249,192.168.1.15|54310,7998,164
42312,192.168.1.15|54310,8052,165
42312,192.168.1.8|53353,9241,28
42373,192.168.1.15|54310,8105,166
42424,192.168.1.15|54310,8148,167
42467,192.168.1.15|54310,8183,168
42521,192.168.1.15|54310,8227,169
42595,192.168.1.15|54310,8293,170
42636,192.168.1.8|53353,9556,29
42656,192.168.1.15|54310,8345,171
42697,192.168.1.15|54310,8378,172
42730,192.168.1.15|54310,8401,173
42773,192.168.1.15|54310,8436,174
42856,192.168.1.15|54310,8510,175
42904,192.168.1.15|54310,8549,176
42912,192.168.1.8|53353,9825,30
42951,192.168.1.15|54310,8588,177
42983,192.168.1.15|54310,8610,178
43028,192.168.1.15|54310,8647,179
43077,192.168.1.15|54310,8686,180
43102,192.168.1.15|54310,8703,181
43181,192.168.1.15|54310,8773,182
43201,192.168.1.8|53353,10104,31
43201,192.168.1.15|54310,8784,183
43253,192.168.1.15|54310,8827,184
43319,192.168.1.15|54310,8884,185
43352,192.168.1.15|54310,8909,186
43393,192.168.1.15|54310,8942,187
43465,192.168.1.15|54310,9006,188
43471,192.168.1.8|53353,10366,32
43522,192.168.1.15|54310,9055,189
43561,192.168.1.15|54310,9086,190
43600,192.168.1.15|54310,9114,191
43670,192.168.1.8|53353,10555,33
43696,192.168.1.15|54310,9200,192
43730,192.168.1.15|54310,9227,193
43771,192.168.1.15|54310,9257,194
43834,192.168.1.15|54310,9312,195
43896,192.168.1.15|54310,9365,196
43949,192.168.1.8|53353,10824,34
43957,192.168.1.15|54310,9418,197
44003,192.168.1.15|54310,9456,198
44050,192.168.1.15|54310,9492,199
44108,192.168.1.15|54310,9543,200
44144,192.168.1.15|54310,9571,201
44176,192.168.1.8|53353,11044,35
44209,192.168.1.15|54310,9626,202
44243,192.168.1.15|54310,9651,203
44297,192.168.1.15|54310,9697,204
44349,192.168.1.15|54310,9740,205
44393,192.168.1.15|54310,9777,206
44442,192.168.1.15|54310,9817,207
44471,192.168.1.8|53353,11330,36
44509,192.168.1.15|54310,9876,208
44549,192.168.1.15|54310,9907,209
44582,192.168.1.15|54310,9930,210
44640,192.168.1.15|54310,9980,211
44705,192.168.1.15|54310,10036,212
44756,192.168.1.15|54310,10079,213
44811,192.168.1.8|53353,11662,37
44811,192.168.1.15|54310,10125,214
44837,192.168.1.15|54310,10143,215
44910,192.168.1.15|54310,10208,216
44972,192.168.1.15|54310,10262,217
45030,192.168.1.15|54310,10311,218
45078,192.168.1.8|53353,11920,38
45084,192.168.1.15|54310,10358,219
45137,192.168.1.15|54310,10402,220
45173,192.168.1.15|54310,10430,221
45219,192.168.1.15|54310,10467,222
45256,192.168.1.15|54310,10496,223
45314,192.168.1.15|54310,10545,224
45346,192.168.1.8|53353,12181,39
45373,192.168.1.15|54310,10594,225
45419,192.168.1.15|54310,10632,226
45484,192.168.1.15|54310,10689,227
45529,192.168.1.15|54310,10726,228
45575,192.168.1.15|54310,10763,229
45595,192.168.1.15|54310,10775,230
45666,192.168.1.15|54310,10837,231
45666,192.168.1.8|53353,12492,40
45699,192.168.1.15|54310,10861,232
45781,192.168.1.15|54310,10935,233
45817,192.168.1.15|54310,10963,234
45867,192.168.1.15|54310,11004,235
45919,192.168.1.8|53353,12736,41
45919,192.168.1.15|54310,11046,236
45965,192.168.1.15|54310,11084,237
46010,192.168.1.15|54310,11120,238
46060,192.168.1.15|54310,11160,239
46149,192.168.1.15|54310,11241,240
46194,192.168.1.15|54310,11278,241
46195,192.168.1.8|53353,13004,42
46259,192.168.1.15|54310,11335,242
46318,192.168.1.15|54310,11385,243
46350,192.168.1.15|54310,11410,244
46431,192.168.1.15|54310,11483,245
46469,192.168.1.15|54310,11509,246
46470,192.168.1.8|53353,13271,43
46502,192.168.1.15|54310,11534,247
46569,192.168.1.15|54310,11594,248
46608,192.168.1.15|54310,11624,249
46666,192.168.1.15|54310,11672,250
46706,192.168.1.15|54310,11704,251
46733,192.168.1.15|54310,11723,252
46745,192.168.1.8|53353,13537,44
46788,192.168.1.15|54310,11770,253
46847,192.168.1.15|54310,11821,254
46899,192.168.1.15|54310,11865,255
46957,192.168.1.15|54310,11912,256
46989,192.168.1.15|54310,11935,257
46989,192.168.1.8|53353,13772,45
47038,192.168.1.15|54310,11975,258
47082,192.168.1.15|54310,12011,259
47114,192.168.1.15|54310,12035,260
47176,192.168.1.15|54310,12088,261
47227,192.168.1.15|54310,12131,262
47259,192.168.1.8|53353,14034,46
47277,192.168.1.15|54310,12172,263
47345,192.168.1.15|54310,12232,264
47378,192.168.1.15|54310,12257,265
47424,192.168.1.15|54310,12295,266
47458,192.168.1.15|54310,12321,267
47527,192.168.1.15|54310,12381,268
47527,192.168.1.8|53353,14293,47
47567,192.168.1.15|54310,12412,269
47626,192.168.1.15|54310,12461,270
47675,192.168.1.15|54310,12501,271
47735,192.168.1.15|54310,12553,272
47799,192.168.1.15|54310,12609,273
47826,192.168.1.15|54310,12628,274
47826,192.168.1.8|53353,14584,48
47891,192.168.1.15|54310,12685,275
47923,192.168.1.15|54310,12708,276
47990,192.168.1.15|54310,12766,277
48037,192.168.1.15|54310,12805,278
48103,192.168.1.15|54310,12863,279
48129,192.168.1.15|54310,12881,280
48148,192.168.1.8|53353,14897,49
48195,192.168.1.15|54310,12937,281
48238,192.168.1.15|54310,12972,282
48277,192.168.1.15|54310,13002,283
48332,192.168.1.15|54310,13047,284
48379,192.168.1.15|54310,13086,285
48385,192.168.1.8|53353,15126,50
48431,192.168.1.15|54310,13130,286
48488,192.168.1.15|54310,13178,287
48537,192.168.1.15|54310,13218,288
48583,192.168.1.15|54310,13256,289
48642,192.168.1.15|54310,13307,290
48686,192.168.1.8|53353,15418,51
48693,192.168.1.15|54310,13350,291
48733,192.168.1.15|54310,13379,292
48815,192.168.1.15|54310,13453,293
48860,192.168.1.15|54310,13489,294
